	SubjectID1	SubjectID2	Group1	Group2	Distance
0	8d2746d9.68e2.42e3.acfc.092603ad6ec1	6519888d.bb69.495b.b4b8.07d0d4333455	fmt-material	fmt-material	0.5374921490080515
1	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	6519888d.bb69.495b.b4b8.07d0d4333455	fmt-material	fmt-material	0.3213836996153236
2	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	8d2746d9.68e2.42e3.acfc.092603ad6ec1	fmt-material	fmt-material	0.5286735004630253
3	6519888d.bb69.495b.b4b8.07d0d4333455	11f3f37a.3698.4031.8183.75f6f2c6c04c	fmt-material	stool	0.6887797077100216
4	6519888d.bb69.495b.b4b8.07d0d4333455	c61b44a5.ae92.4202.9d0c.b4507197e456	fmt-material	stool	0.668678771258351
5	6519888d.bb69.495b.b4b8.07d0d4333455	59d06f37.995b.40a5.91a8.c825d1a7ca6f	fmt-material	stool	0.6501680533744527
6	6519888d.bb69.495b.b4b8.07d0d4333455	8cbe736d.b553.450d.af3c.d5ad08863390	fmt-material	stool	0.6327715299192528
7	6519888d.bb69.495b.b4b8.07d0d4333455	124dc1db.9029.41c6.afff.b73a692e19b1	fmt-material	stool	0.662918532457973
8	6519888d.bb69.495b.b4b8.07d0d4333455	98d36350.175c.439b.a534.27de6e5783ad	fmt-material	stool	0.5485854479435047
9	6519888d.bb69.495b.b4b8.07d0d4333455	683047f6.fe17.477f.9950.a6190ca34054	fmt-material	stool	0.5883869732619185
10	6519888d.bb69.495b.b4b8.07d0d4333455	7e1f1b3f.4575.458c.9f42.287d03499e25	fmt-material	stool	0.6212124078606025
11	6519888d.bb69.495b.b4b8.07d0d4333455	873473f6.eef2.4718.b5f4.e88757055760	fmt-material	stool	0.6880173331189916
12	6519888d.bb69.495b.b4b8.07d0d4333455	cfe0d2d7.c78b.4092.b923.3322b4312c6d	fmt-material	stool	0.5525410699399451
13	6519888d.bb69.495b.b4b8.07d0d4333455	90120dc2.ad2e.4916.a660.633ba4b6a7b8	fmt-material	stool	0.6672619471536021
14	6519888d.bb69.495b.b4b8.07d0d4333455	c1a66804.c565.448a.8371.0c8e386f4969	fmt-material	stool	0.6424736654675136
15	6519888d.bb69.495b.b4b8.07d0d4333455	d623471b.5a0c.4291.a780.2ae6532752a9	fmt-material	stool	0.6386408655112117
16	6519888d.bb69.495b.b4b8.07d0d4333455	fe826a14.1ed8.4d19.b14d.2233b960e1bc	fmt-material	stool	0.614626714403189
17	6519888d.bb69.495b.b4b8.07d0d4333455	40112074.09e5.42b1.b332.17c9b89686e5	fmt-material	stool	0.6026863198951713
18	6519888d.bb69.495b.b4b8.07d0d4333455	cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	fmt-material	stool	0.6888518893847712
19	6519888d.bb69.495b.b4b8.07d0d4333455	eb4ece61.6afe.4c88.8a06.d616dab1dd34	fmt-material	stool	0.699718056795295
20	6519888d.bb69.495b.b4b8.07d0d4333455	c287751e.0263.4fda.8aa2.3b717855e2ee	fmt-material	stool	0.6346941779108922
21	8d2746d9.68e2.42e3.acfc.092603ad6ec1	11f3f37a.3698.4031.8183.75f6f2c6c04c	fmt-material	stool	0.6943138535668979
22	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c61b44a5.ae92.4202.9d0c.b4507197e456	fmt-material	stool	0.6204034524510849
23	8d2746d9.68e2.42e3.acfc.092603ad6ec1	59d06f37.995b.40a5.91a8.c825d1a7ca6f	fmt-material	stool	0.5309751327998139
24	8d2746d9.68e2.42e3.acfc.092603ad6ec1	8cbe736d.b553.450d.af3c.d5ad08863390	fmt-material	stool	0.632967565178973
25	8d2746d9.68e2.42e3.acfc.092603ad6ec1	124dc1db.9029.41c6.afff.b73a692e19b1	fmt-material	stool	0.6398939712018568
26	8d2746d9.68e2.42e3.acfc.092603ad6ec1	98d36350.175c.439b.a534.27de6e5783ad	fmt-material	stool	0.5422769985854732
